S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1298,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,1030000,-,915,Strata,11 to 15,1126,Aug-21
1299,PARC CENTROS,PUNGGOL CENTRAL,Condominium,19,OCR,99 yrs lease commencing from 2012,Resale,1,670000,-,463,Strata,11 to 15,1448,Aug-21
1300,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,Resale,1,1228000,-,732,Strata,11 to 15,1678,Aug-21
1301,THE WINDSOR,ONTARIO AVENUE,Condominium,20,RCR,Freehold,Resale,1,2030000,-,1625,Strata,01 to 05,1249,Aug-21
1302,TANAMERA CREST,PARI DEDAP WALK,Condominium,16,OCR,99 yrs lease commencing from 2000,Resale,1,965000,-,1184,Strata,06 to 10,815,Aug-21
1303,THE BAYSHORE,BAYSHORE ROAD,Condominium,16,OCR,99 yrs lease commencing from 1993,Resale,1,982000,-,969,Strata,01 to 05,1014,Aug-21
1304,BEDOK COURT,BEDOK SOUTH AVENUE 3,Condominium,16,OCR,99 yrs lease commencing from 1982,Resale,1,2050000,-,2411,Strata,01 to 05,850,Aug-21
1305,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1550000,-,1206,Strata,11 to 15,1286,Aug-21
1306,COCO PALMS,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,985000,-,743,Strata,06 to 10,1326,Aug-21
1307,LIVIA,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,1290000,-,1410,Strata,01 to 05,915,Aug-21
1308,SEASTRAND,PASIR RIS LINK,Condominium,18,OCR,99 yrs lease commencing from 2011,Resale,1,845000,-,883,Strata,06 to 10,957,Aug-21
1309,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 yrs lease commencing from 2014,Resale,1,808000,-,495,Strata,16 to 20,1632,Aug-21
1310,KOVAN RESIDENCES,KOVAN ROAD,Condominium,19,OCR,99 yrs lease commencing from 2007,Resale,1,2340000,-,1776,Strata,11 to 15,1318,Aug-21
1311,THE MINTON,HOUGANG STREET 11,Condominium,19,OCR,99 yrs lease commencing from 2007,Resale,1,980888,-,980,Strata,01 to 05,1001,Aug-21
1312,LIVIA,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,1760000,-,1927,Strata,01 to 05,913,Aug-21
